ticker,date,iv
AAPL,2026-03-11,0.2819896020507812
AMD,2026-03-11,0.5704388659667969
AMZN,2026-03-11,0.3631655480957031
COIN,2026-03-11,0.7355983471679688
CRWD,2026-03-11,0.4817556707763671
DIA,2026-03-11,0.1837239831542968
GLD,2026-03-11,0.302314105834961
GOOGL,2026-03-11,0.3375310388183594
IWM,2026-03-11,0.2683788983154296
META,2026-03-11,0.3381413842773437
MSFT,2026-03-11,0.3112861840820312
NFLX,2026-03-11,0.4080869738769531
NVDA,2026-03-11,0.4389704541015625
PLTR,2026-03-11,0.563602996826172
QQQ,2026-03-11,0.2476576699829101
SHOP,2026-03-11,0.7041045214843751
SMH,2026-03-11,0.4444635632324218
SPY,2026-03-11,0.1979297737121582
TLT,2026-03-11,0.1247646118164062
TSLA,2026-03-11,0.4862417098999023
UBER,2026-03-11,0.4201718139648437
XLE,2026-03-11,0.2436599072265625
XLF,2026-03-11,0.2253495434570312
XLK,2026-03-11,0.3392400061035155
